Year,native_population,asian_population,black_population,white_population,US_Population
1980,2058726,7549082,30648345,209366661,249622814
1981,2126968,7957219,31290743,211606011,252980941
1982,2202176,8386444,31979982,213945622,256514224
1983,2282052,8814728,32634735,216187073,259918588
1984,2361078,9200988,33258981,218304774,263125821
1985,2441752,9604552,33847306,220384783,266278393
1986,2534873,10023883,34415478,222420050,269394284
1987,2626475,10459307,35007679,224553464,272646925
1988,2726036,10885809,35594140,226648119,275854104
1989,2832761,11346496,36173121,228687790,279040168
1990,2058726,7549082,30648345,209366661,249622814
1991,2126968,7957219,31290743,211606011,252980941
1992,2202176,8386444,31979982,213945622,256514224
1993,2282052,8814728,32634735,216187073,259918588
1994,2361078,9200988,33258981,218304774,263125821
1995,2441752,9604552,33847306,220384783,266278393
1996,2534873,10023883,34415478,222420050,269394284
1997,2626475,10459307,35007679,224553464,272646925
1998,2726036,10885809,35594140,226648119,275854104
1999,2832761,11346496,36173121,228687790,279040168
2000,2993321,11893416,36728709,230546965,282162411
2001,3097333,12429181,37249775,232192666,284968955
2002,3202471,12953763,37748424,233720535,287625193
2003,3312011,13461109,38209741,235125072,290107933
2004,3429452,13967014,38738798,236670034,292805298
2005,3554356,14494417,39280731,238187095,295516599
2006,3687683,15029851,39857107,239805271,298379912
2007,3829898,15559373,40451108,241390828,301231207
2008,3983929,16094699,41048959,242966379,304093966
2009,4141215,16609031,41632450,244388833,306771529
2010,4273059,17119989,42200372,245753443,309346863
2011,4332631,17657439,42722897,247005890,311718857
2012,4393751,18216079,43252304,248240489,314102623
2013,4453014,18817132,43772123,249385126,316427395
2014,4515532,19459494,44316094,250616281,318907401
